,precision,recall,f1,lift,complexity,success_rate,precision_std,recall_std,f1_std,lift_std,complexity_std
prim,1.0,0.6935483870967742,0.8190476190476191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cart,1.0,0.5483870967741935,0.7083333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
