,precision,recall,f1,lift,complexity,success_rate,precision_std,recall_std,f1_std,lift_std,complexity_std
prim,0.5441790751388275,0.6855574980574981,0.5968253968253968,0.21084574180549412,1.6666666666666667,1.0,0.09218677640821595,0.13832975255767307,0.07779397304662124,0.14224368490535963,0.4714045207910317
cart,0.5833333333333334,0.21731740481740483,0.28603603603603606,0.25,2.0,1.0,0.06804138174397716,0.16027832076913848,0.16200568025544543,0.20670394152865332,0.0
