,precision,recall,f1,lift,complexity,success_rate,precision_std,recall_std,f1_std,lift_std,complexity_std
prim,0.3617262386025063,0.6279450549450549,0.42459515065610026,0.16172623860250634,1.8,1.0,0.08882397821651744,0.25646705974681605,0.04918354816678163,0.12055456465845757,0.4000000000000001
cart,0.08029197080291971,0.11000000000000001,0.09282700421940929,-0.11970802919708028,1.0,0.2,0.16058394160583941,0.22000000000000003,0.1856540084388186,0.19489044337121691,0.0
