cost,executionTime,probSuccessfulExecution
6,33,54
22,22,57
120,22,76
13,32,67
114,31,89
24,25,88
5,60,82
10,28,61
22,45,86
4,24,49
8,49,81
6,47,64
6,55,77
4,66,74
4,58,69
12,37,75
16,26,77
10,34,65
21,26,83
8,41,60
96,60,90
20,50,86
2,62,71
2,48,37
18,28,78
111,51,90
45,23,82
15,32,83
12,46,83
14,31,62
24,42,89
