,cost,executionTime,probSuccessfulExecution
d1Services,0.09507676952199841,0.07561390883866155,0.04491897037899803
d2Services,0.09539152275651604,0.078623267765514,0.04515716522581243
d3Services,0.09493008849191549,0.07659589857427518,0.04327999430844926
deviceCPUCyles,0.0002912174467525389,0.023777580307796333,0.000645570657578595
deviceCost,0.6188365008939443,0.0015040018478546982,0.0006538871553929847
lbExecTime,0.00025878531674396367,0.6969118046903612,0.0006358556681869289
lbFailureProb,0.00032864175661743495,0.001396448468302984,0.7782691684300662
serviceCost,0.09460049492953114,0.0010377411111114213,0.00046318767915939105
serviceFailureProb,0.0002859788859807618,0.04453934839612257,0.08597620049635599
