N Rounds,Total Clients,Model,Dataset,Optimizer,Learning Rate,Batch Size,Epochs,Client 1 ID,Client 1 CPU,Client 1 RAM,Client 1 Data Distribution,Client 1 Data Persistence,Client 1 Alpha Dirichlet,Client 1 JSD,Client 1 CPU Usage Avg,Client 1 RAM Usage Avg,Client 2 ID,Client 2 CPU,Client 2 RAM,Client 2 Data Distribution,Client 2 Data Persistence,Client 2 Alpha Dirichlet,Client 2 JSD,Client 2 CPU Usage Avg,Client 2 RAM Usage Avg,Client 3 ID,Client 3 CPU,Client 3 RAM,Client 3 Data Distribution,Client 3 Data Persistence,Client 3 Alpha Dirichlet,Client 3 JSD,Client 3 CPU Usage Avg,Client 3 RAM Usage Avg,Client 4 ID,Client 4 CPU,Client 4 RAM,Client 4 Data Distribution,Client 4 Data Persistence,Client 4 Alpha Dirichlet,Client 4 JSD,Client 4 CPU Usage Avg,Client 4 RAM Usage Avg,Client 5 ID,Client 5 CPU,Client 5 RAM,Client 5 Data Distribution,Client 5 Data Persistence,Client 5 Alpha Dirichlet,Client 5 JSD,Client 5 CPU Usage Avg,Client 5 RAM Usage Avg,Round 25%,Val F1 25%,Training Time Avg 25%,Communication Time Avg 25%,Total Round Time 25%,Round 50%,Val F1 50%,Training Time Avg 50%,Communication Time Avg 50%,Total Round Time 50%,Round 75%,Val F1 75%,Training Time Avg 75%,Communication Time Avg 75%,Total Round Time 75%,Avg Training Time,Avg Communication Time,Avg Total Round Time,Final Train Loss,Final Train Accuracy,Final Train F1,Final Val Loss,Final Val Accuracy,Final Val F1 (Last Round),Final Val F1 (Best),Client Selector Strategy,Client Selector Criteria,Client Selector Value,Message Compressor Alg,HDH Batch Size,HDH Beta 1,HDH Beta 2,HDH Discriminator,HDH Epochs,HDH Generator,HDH Learning Rate,HDH Latent Dim,HDH Optimizer,client_selector_pattern,message_compressor_pattern,hdh_pattern,config_id
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,0.1699999999999999,111.1,2.8,Client 2,3,2,IID,Same Data,1,0.1699999999999999,115.1,2.8,Client 3,3,2,IID,Same Data,1,0.1699999999999999,117.6,2.9,Client 4,3,2,non-IID,Same Data,0.5,0.07,119.5,3.0,Client 5,1,2,non-IID,Same Data,0.5,0.1299999999999999,100.0,3.0,3,0.2081,8.904,1.598,51.59,5,0.2224,8.946,1.604,51.69,8,0.2372,1.63,2.0420000000000003,16.23,6.6058,1.8114,40.389,1.18,0.5402,0.4259,3.3,0.3305,0.2516,0.2516,nan,nan,nan,nan,32.0,0.5,0.999,DCGANDiscriminator,1.0,DCGANGenerator,0.0002,100.0,Adam,OFF,OFF,ON,"OFF,OFF,ON"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,0.1699999999999999,104.1,2.9,Client 2,3,2,IID,Same Data,1,0.1699999999999999,111.9,2.7,Client 3,3,2,IID,Same Data,1,0.1699999999999999,111.2,2.8,Client 4,3,2,non-IID,Same Data,0.5,0.07,117.9,3.0,Client 5,1,2,non-IID,Same Data,0.5,0.1299999999999999,100.0,3.0,3,0.1968,8.931999999999999,1.576,47.77,5,0.2255,9.194,2.018,47.78,8,0.2483,9.178,1.9500000000000004,47.68,8.388800000000002,1.9742,44.205000000000005,1.2,0.5361,0.4156,3.33,0.3246,0.2466,0.2483,nan,nan,nan,nan,32.0,0.5,0.999,DCGANDiscriminator,1.0,DCGANGenerator,0.0002,100.0,Adam,OFF,OFF,ON,"OFF,OFF,ON"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,0.1699999999999999,118.9,2.9,Client 2,3,2,IID,Same Data,1,0.1699999999999999,111.0,2.9,Client 3,3,2,IID,Same Data,1,0.1699999999999999,115.1,2.8,Client 4,3,2,non-IID,Same Data,0.5,0.07,117.1,3.0,Client 5,1,2,non-IID,Same Data,0.5,0.1299999999999999,100.0,3.0,3,0.1964,8.888000000000002,1.584,47.58,5,0.2281,8.882000000000001,1.5719999999999998,47.48,8,0.234,8.944000000000003,1.62,47.38,8.832799999999999,1.7563999999999995,46.818,1.21,0.5317,0.4247,3.32,0.3249,0.2458,0.2458,nan,nan,nan,nan,32.0,0.5,0.999,DCGANDiscriminator,1.0,DCGANGenerator,0.0002,100.0,Adam,OFF,OFF,ON,"OFF,OFF,ON"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,0.1699999999999999,113.9,2.8,Client 2,3,2,IID,Same Data,1,0.1699999999999999,118.0,2.7,Client 3,3,2,IID,Same Data,1,0.1699999999999999,104.9,2.9,Client 4,3,2,non-IID,Same Data,0.5,0.07,117.8,3.0,Client 5,1,2,non-IID,Same Data,0.5,0.1299999999999999,100.0,3.0,3,0.2066,8.946000000000002,1.552,47.68,5,0.2276,8.998,1.556,47.69,8,0.2367,22.356,1.558,114.18,9.5782,1.693,50.835,1.17,0.5447,0.4401,3.54,0.3298,0.2503,0.2503,nan,nan,nan,nan,32.0,0.5,0.999,DCGANDiscriminator,1.0,DCGANGenerator,0.0002,100.0,Adam,OFF,OFF,ON,"OFF,OFF,ON"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,0.1699999999999999,118.5,2.6,Client 2,3,2,IID,Same Data,1,0.1699999999999999,115.9,2.6,Client 3,3,2,IID,Same Data,1,0.1699999999999999,117.1,2.8,Client 4,3,2,non-IID,Same Data,0.5,0.07,116.2,3.0,Client 5,1,2,non-IID,Same Data,0.5,0.1299999999999999,100.0,3.0,3,0.2048,8.918000000000001,1.648,47.68,5,0.2237,22.274,1.574,113.97,8,0.2392,8.978,1.628,47.79,8.563799999999999,1.6411999999999998,46.235,1.2,0.5326,0.4104,3.36,0.3278,0.2453,0.247,nan,nan,nan,nan,32.0,0.5,0.999,DCGANDiscriminator,1.0,DCGANGenerator,0.0002,100.0,Adam,OFF,OFF,ON,"OFF,OFF,ON"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,nan,111.9,2.0,Client 2,3,2,IID,Same Data,1,nan,113.4,2.0,Client 3,3,2,IID,Same Data,1,nan,116.4,2.0,Client 4,3,2,non-IID,Same Data,0.5,nan,119.8,2.0,Client 5,1,2,non-IID,Same Data,0.5,nan,100.0,2.0,3,0.1923,1.754,2.422,17.04,5,0.2184,1.7759999999999998,2.426,17.03,8,0.2391,1.766,2.406,17.03,4.6638,2.2218,30.893,1.1,0.5872,0.4269,3.71,0.3341,0.2551,0.2551,nan,nan,nan,zlib,nan,nan,nan,nan,nan,nan,nan,nan,nan,OFF,ON,OFF,"OFF,ON,OFF"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,nan,109.7,2.0,Client 2,3,2,IID,Same Data,1,nan,111.6,2.0,Client 3,3,2,IID,Same Data,1,nan,117.5,2.0,Client 4,3,2,non-IID,Same Data,0.5,nan,116.3,2.0,Client 5,1,2,non-IID,Same Data,0.5,nan,100.0,2.0,3,0.1939,9.044,1.856,47.88,5,0.2203,9.054,1.854,47.78,8,0.2339,9.364,2.39,47.78,7.6684,2.096,40.49,1.11,0.5837,0.4149,3.7,0.317,0.2422,0.2422,nan,nan,nan,zlib,nan,nan,nan,nan,nan,nan,nan,nan,nan,OFF,ON,OFF,"OFF,ON,OFF"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,nan,116.8,2.0,Client 2,3,2,IID,Same Data,1,nan,105.7,2.0,Client 3,3,2,IID,Same Data,1,nan,112.3,2.0,Client 4,3,2,non-IID,Same Data,0.5,nan,114.4,2.0,Client 5,1,2,non-IID,Same Data,0.5,nan,100.1,2.0,3,0.1864,9.09,1.856,47.88,5,0.2148,9.073999999999998,1.868,47.78,8,0.2437,9.378000000000002,2.382000000000001,47.78,8.4314,2.1012,44.285,1.08,0.6027,0.4324,3.46,0.3275,0.2475,0.2475,nan,nan,nan,zlib,nan,nan,nan,nan,nan,nan,nan,nan,nan,OFF,ON,OFF,"OFF,ON,OFF"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,nan,116.6,2.0,Client 2,3,2,IID,Same Data,1,nan,118.2,2.0,Client 3,3,2,IID,Same Data,1,nan,109.0,2.0,Client 4,3,2,non-IID,Same Data,0.5,nan,106.4,2.0,Client 5,1,2,non-IID,Same Data,0.5,nan,100.0,2.0,3,0.1938,9.042,1.836,47.78,5,0.2205,9.354,2.358,47.78,8,0.2413,9.366,2.3720000000000003,47.78,8.4912,2.2406,44.192,1.1,0.5876,0.4258,3.64,0.3312,0.2519,0.2519,nan,nan,nan,zlib,nan,nan,nan,nan,nan,nan,nan,nan,nan,OFF,ON,OFF,"OFF,ON,OFF"
10,5,CNN 16k,CIFAR-10,Adam,0.001,64,1,Client 1,3,2,IID,Same Data,1,nan,118.6,2.0,Client 2,3,2,IID,Same Data,1,nan,120.4,2.0,Client 3,3,2,IID,Same Data,1,nan,122.8,2.0,Client 4,3,2,non-IID,Same Data,0.5,nan,106.0,2.0,Client 5,1,2,non-IID,Same Data,0.5,nan,100.0,2.0,3,0.1775,8.989999999999998,1.8340000000000003,47.68,5,0.2106,8.996,1.836,47.69,8,0.2353,9.028000000000002,1.834,47.68,7.493600000000002,1.8598,40.46,1.1,0.5959,0.424,3.63,0.3222,0.2443,0.2443,nan,nan,nan,zlib,nan,nan,nan,nan,nan,nan,nan,nan,nan,OFF,ON,OFF,"OFF,ON,OFF"
