,precision,recall,f1,lift,complexity,success_rate,precision_std,recall_std,f1_std,lift_std,complexity_std
prim,0.1485444343800322,0.1772873495989305,0.16078235815602837,0.27534219001610305,1.75,0.8,0.2685402564407511,0.31249104170703434,0.28668494777097897,0.2645343900633304,0.4330127018922193
cart,0.08035714285714286,0.12943683155080216,0.08674712024940225,0.05714285714285714,1.0,0.6,0.17769383614100434,0.2917594458204436,0.18146580758694766,0.15662625007257053,0.0
