,joint1,separated,joint2
"average,average",0.5882352941176471,0.11764705882352941,0.11764705882352941
"fast,average",0.0,0.8235294117647058,0.8823529411764706
"slow,average",0.4117647058823529,0.058823529411764705,0.0
