method,policy,target,L-L,L-M,L-S,L-XS,M-L,M-M,M-S,M-XS,S-L,S-M,S-S,S-XS,XS-L,XS-M,XS-S,XS-XS
test set,standard,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,010869565217391304","0,0","0,0","0,2608695652173913","0,7065217391304348","0,010869565217391304","0,010869565217391304"
prim,standard,XS-L,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,7931034482758621","0,20689655172413793","0,0","0,0"
prim,standard,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,02857142857142857","0,0","0,0","0,0","0,9714285714285714","0,0","0,0"
cart,standard,XS-L,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,88","0,12","0,0","0,0"
cart,standard,XS-M,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,02857142857142857","0,0","0,0","0,0","0,9714285714285714","0,0","0,0"
