ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,DUMMY
6.86900131361842,2.67120161373822,0.731399177794845,0.116785921423154,376.0,39.2277146333914,87.0344579039429,31.8549880094666,11.5003049352049,0.901855,1.0,1.0
7.35185131048836,3.29067025157513,0.55380284492722,0.169180493118767,326.0,59.7480918607381,85.4152589918,57.8880667000558,11.1778361210249,0.901855,1.0,1.0
5.88259478803575,3.22982866980215,0.534793185397112,0.162922667872377,479.0,43.4354600156356,65.0917656555825,74.9030433337465,11.2138084284267,0.0337242,0.133311,1.0
6.00002275224842,2.9216227133917,0.694556880906811,0.13899409599056,483.0,91.729516015217,35.6157048221872,35.1832576922924,12.2011641503287,0.0,0.0981446,1.0
7.44186499247343,3.13633694186044,0.728686993845921,0.172212426168471,644.0,39.6690235433676,78.5535267394293,31.6244999338597,12.3896206312053,0.901855,1.0,1.0
7.33350390155295,3.91920229820937,0.634589850786229,0.18436026007441,613.0,86.874751512256,51.9934149456387,39.1088086023804,12.2521296094257,0.0,0.0981446,1.0
7.38115668395882,3.89220759567819,0.658504801357747,0.168326996070244,263.0,51.3942668047687,30.7832933411535,83.1672049732045,11.2248423282839,0.0,0.0981446,1.0
7.49424153804912,2.52980757022802,0.517184278009429,0.104960897616657,413.0,97.6106061507958,95.9997218225992,40.599502792208,11.9467433945868,0.0257282,0.125623,1.0
6.57918407939699,3.16545577149552,0.502351640588754,0.214076204025351,317.0,49.488813011071,34.3903733911998,67.7209981237563,11.7199718790277,0.0,0.0981446,1.0
5.0564803481159,4.39059220345317,0.545575704026951,0.236580146072913,588.0,35.0847311762938,84.6004382364738,89.2973621256163,12.0591119829234,0.901855,1.0,1.0
5.20287722511529,4.12188292231936,0.697891792642103,0.345379410767389,429.0,41.7052692500792,31.5559726183377,90.3345957098118,12.2798696541353,0.0519702,0.151639,1.0
6.39065681148932,3.82312533335468,0.524137173682878,0.357758576237757,698.0,36.3280752441199,32.6975940164918,32.8592148068629,11.8624784047392,0.901855,1.0,1.0
6.16112363867383,3.63148731853244,0.591472520199717,0.166926567418064,464.0,83.9954367686289,36.9435702735554,91.6871121976095,11.9995833812659,0.901855,1.0,1.0
7.09930522453246,3.13864055173408,0.539083565695773,0.136933866412481,313.0,64.1516195141508,34.4879659608926,88.9146045244956,11.6484208685167,0.320755,0.420677,1.0
5.78253038076106,3.66709841700779,0.542672944916351,0.116420928933203,572.0,53.5109509466072,60.4405158350685,83.4888893597311,12.0718603366008,0.421586,0.521483,1.0
6.3717081722281,2.64322682103772,0.51891722312447,0.268818847237373,548.0,87.9473237242065,92.5712350116488,58.201462698284,11.2694441425018,0.0257282,0.125623,1.0
5.89862447862543,2.71259886395128,0.797222102555209,0.173896697014521,255.0,31.3713026628283,69.2099480038449,97.8381787834587,11.2309604583555,0.87865,0.978536,1.0
5.54376124843205,2.17571047743533,0.721295487004346,0.354330505737431,453.0,99.7450074575811,40.1681135209766,84.317473879079,12.3670332539331,0.0,0.0981446,1.0
7.09721405628528,3.99763767308066,0.580446948953573,0.221965961179463,289.0,97.9914331796861,71.5821249411147,45.7078969800388,11.3333557133509,0.0,0.0981446,1.0
6.02451627563213,2.45977375362857,0.573793703865572,0.379059344160255,433.0,84.5655783127059,44.3288725918993,40.3962948723314,11.3113164527495,0.000468738,0.0989152,1.0
6.0698734681737,2.51090861458568,0.540930181883928,0.356134706620503,337.0,50.7427646989397,64.3890457163653,88.1572139905166,11.5595830675255,0.00358196,0.102241,1.0
6.14207719856703,3.29404352454325,0.624265716227849,0.396781232743837,584.0,44.7642090874247,40.3289714950343,42.7758679230053,11.4503590289451,0.0,0.0981446,1.0
6.35920353951548,2.27378036720357,0.701322155875758,0.318969081246221,453.0,89.4239571479456,32.879488306059,73.0690213358916,11.1635599211491,0.0,0.0981446,1.0
7.37603157339475,2.12669214693508,0.524423083787765,0.32112244140844,452.0,45.7741935166419,76.0909826379709,45.9853350467378,11.133687726665,0.0,0.0981446,1.0
5.67788313195556,2.36312342090181,0.722834282352107,0.231534802450593,460.0,67.0071605436455,47.2095267189343,73.5170253474745,12.3932938439127,0.901855,1.0,1.0
6.55754670207638,3.60501147182589,0.770953576435381,0.246258745697194,466.0,46.8508756823483,72.772439291106,76.456831310472,11.2675471724417,0.725308,0.825123,1.0
7.49500756601021,3.47884977048638,0.612392820062432,0.243893258955672,443.0,76.8968486857557,72.1869474731306,56.5730197969447,11.1957264561933,0.0,0.0981446,1.0
7.26083492631112,3.91131644313293,0.764414108630954,0.260037234938329,685.0,37.599894036319,70.0093074204632,92.4014230634672,11.9272466851697,0.901855,1.0,1.0
7.15881618492765,4.32300670029912,0.599111860828555,0.337368951036691,651.0,57.1374013194938,82.5132074292012,49.4705436464014,11.4371003866051,0.445099,0.545024,1.0
5.65811683664922,4.41286045348609,0.564720177915815,0.234815418407054,512.0,86.9172657069829,44.74983085406,94.3199735656393,12.1023896563784,0.176811,0.276565,1.0
6.82712716023684,3.9623763259818,0.588824978809902,0.115538567696213,455.0,50.4002286497094,78.4848603606359,30.6891336732182,11.8784051611118,0.0885171,0.188298,1.0
6.00790845005,3.93697932709647,0.508540972893257,0.220788276319584,535.0,62.3391222076361,48.2459784679528,51.7152817231635,11.5272216079796,0.901855,1.0,1.0
6.75585865820032,2.87922771033841,0.758938780008811,0.293975155592906,295.0,38.8843227885827,32.9463817362628,83.4507434335593,11.8725355961644,0.901855,1.0,1.0
7.43882858183916,2.27025184660014,0.509153581687,0.186383475285656,374.0,33.9036275813664,45.8533207746027,92.4146047794995,11.6069597853164,0.0,0.0981446,1.0
7.39439458490125,4.47751377499621,0.794736161887272,0.324328955623101,385.0,71.111414640716,73.4252641900239,41.0974286510455,11.7696931585829,0.0651433,0.16499,1.0
5.30091955561103,3.22968103847561,0.518065379437669,0.106384402011557,570.0,95.6741702120783,58.402981853135,64.8431240320183,12.2263048245469,0.000468738,0.0989152,1.0
6.5606430168661,4.36584395401901,0.549705586066755,0.315220041889685,533.0,78.8617487182573,44.2801963367814,67.9942188808309,11.9824444642629,0.387386,0.487301,1.0
