,precision,recall,f1,lift,complexity,success_rate,precision_std,recall_std,f1_std,lift_std,complexity_std
prim,0.5016414141414142,0.3568810189499845,0.4164577306332369,0.0016414141414141659,2.0,1.0,0.07108585858585859,0.07760173967070519,0.07765991642558662,0.004679608585858586,0.0
cart,0.5,0.04482758620689655,0.08227848101265824,0.0,1.0,0.5,0.5,0.04482758620689655,0.08227848101265824,0.43359375,0.0
