,cost,executionTime,probSuccessfulExecution
d1Services,0.09507698670902848,0.07561383767641319,0.04491895477250532
d2Services,0.09539178505086326,0.07862325530186211,0.045157159414803534
d3Services,0.09492956335708873,0.07659598862889276,0.04327998711320974
deviceCPUCyles,0.0002914877820339252,0.02376418336138552,0.0006476070855626708
deviceCost,0.6188334364067083,0.0015096024879476548,0.0006617456124089104
lbExecTime,0.00025929670767729015,0.6969056338861401,0.0006326108606149805
lbFailureProb,0.000330090835236384,0.0013957987609690167,0.7782634095935689
serviceCost,0.09460049791854351,0.0010421862036666728,0.00046209330945709147
serviceFailureProb,0.0002868552328200213,0.044549513692722954,0.08597643223786891
