N_A,N_B,r_Z_A,r_Z_B,r_A_gw,r_B_gw,r_A_s1,r_B_s1,r_A_s2,r_B_s2,r_A_s3,r_B_s3,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Ugw,Ugw_low,Ugw_up,Us1,Us1_low,Us1_up,Us2,Us2_low,Us2_up,Us3,Us3_low,Us3_up,sim_time_sec
7,18,0.01,0.01,0.06666666666666667,0.06666666666666667,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,390.39841916850855,384.41435420757676,396.38248412944034,352.5659360684406,342.31747818685085,362.8143939500303,406.82686956180413,401.53420483849044,412.1195342851178,0.06410529821210473,0.062297785326760204,0.0660208318650479,0.01968152705343894,0.019249512531905516,0.020133378064043642,0.04429280234543569,0.04352549824292204,0.045087645290389736,0.9668855412228414,0.9525836841296719,0.981187398316011,0.9393149934667115,0.9158514003858766,0.9627785865475464,0.8348437590657222,0.8177357167218712,0.8519518014095732,0.6142723252004403,0.5964523897474172,0.6320922606534634,11.375664949417114
9,16,0.01,0.01,0.06666666666666667,0.06666666666666667,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,388.74274173475277,382.2149807150047,395.27050275450085,372.9016447895507,362.09161818230996,383.7116713967914,397.9693306617786,390.8999624476019,405.0386988759553,0.0644599808988893,0.06260831596515856,0.0664245112710075,0.02420100189066513,0.023781424687650585,0.02463565025013726,0.04020067883265052,0.03958581420449138,0.04083494552902053,0.9653641128347057,0.9519641774890811,0.9787640481803302,0.8946061774684569,0.870729761760987,0.9184825931759268,0.8472707846940989,0.8265707223514757,0.8679708470367221,0.6863068124220033,0.6705852100263264,0.7020284148176802,11.321273803710938
0,25,0.01,0.01,0.06666666666666667,0.06666666666666667,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,449.72610312022573,439.8014819798588,459.65072426059265,0.0,0.0,0.0,449.72610312022573,439.8014819798588,459.65072426059265,0.05561207855082532,0.05480515871021733,0.0564431147197728,0.0,0.0,0.0,0.05561207855082532,0.05480515871021733,0.0564431147197728,0.8431579765038949,0.8267878632418915,0.8595280897658983,0.9966212766693905,0.9833775373376157,1.0098650160011653,0.6643384225745061,0.6494077495081665,0.6792690956408458,0.27829292035940684,0.2724222131831611,0.28416362753565255,11.442560911178589
8,17,0.01,0.01,0.06666666666666667,0.06666666666666667,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,387.9200533545918,376.4639485772759,399.3761581319077,364.84090660194727,358.17631058476627,371.50550261912826,403.3404178889948,396.2004428142242,410.48039296376544,0.06423435572205374,0.06323563858915104,0.0652651257228752,0.02193413779010383,0.021473393288255656,0.02241508778799785,0.04220823329832831,0.041584610497425914,0.04285084516271164,0.9680052608688249,0.9412664581634004,0.9947440635742494,0.9100737827099724,0.8861070278845254,0.9340405375354194,0.8386821787518233,0.818854432431665,0.8585099250719815,0.6498031727353902,0.6308772807377028,0.6687290647330777,12.716625213623047
5,20,0.01,0.01,0.06666666666666667,0.06666666666666667,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,401.06051889373094,395.21013829454654,406.91089949291535,335.41199208850554,329.88191700889155,340.94206716811954,421.73393029438785,414.12894000975916,429.33892057901653,0.06248415960830937,0.061602003407623535,0.06339194827014935,0.01488762101010942,0.014511674443935965,0.015283564540265176,0.04741733342857263,0.04661935039393755,0.0482431103489105,0.9418750974858245,0.925671936958105,0.9580782580135441,0.9575220456259971,0.9405715184408939,0.9744725728111002,0.7944829778424297,0.7778111986763783,0.8111547570084812,0.534388639271969,0.5187948021399439,0.5499824764039941,13.967693090438843
6,19,0.01,0.01,0.06666666666666667,0.06666666666666667,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,392.71247305961634,381.2186695657584,404.2062765534743,345.90268963750646,340.5031030383246,351.30227623668833,414.5602303577583,407.15134819795446,421.96911251756217,0.06293912112609593,0.06185150330592846,0.06406567366919262,0.01734623407150411,0.01707828005698594,0.01762273037767266,0.04582600978402542,0.04506547983153519,0.04661264994813823,0.9460881915570463,0.9307874273374579,0.9613889557766346,0.9527882655808052,0.9345602114012639,0.9710163197603465,0.8110674636460583,0.7880767710297797,0.8340581562623369,0.5842079401641631,0.567291171705116,0.6011247086232102,17.900938034057617
12,13,0.01,0.01,0.06666666666666667,0.06666666666666667,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,384.88205969013785,374.77540180528905,394.98871757498665,390.9056149482517,384.50324781744166,397.30798207906173,380.9824397201186,375.7002467117717,386.2646327284655,0.06479564909399518,0.06323190831821666,0.06643869448709185,0.030420031496877466,0.029547371456891267,0.03134580701791012,0.03412105471108697,0.03365263357750723,0.0346027001065807,0.9779864196039407,0.962789092490027,0.9931837467178545,0.8185557270537636,0.8035434551677803,0.8335679989397469,0.8694755201397714,0.8505998748616116,0.8883511654179311,0.7947560313772636,0.7712334560337518,0.8182786067207753,7.458546876907349
11,14,0.01,0.01,0.06666666666666667,0.06666666666666667,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,386.71354186663126,375.808909333392,397.6181743998705,384.49626900373295,379.0178666819442,389.9746713255217,385.52854206055315,379.4228190355215,391.6342650855848,0.06465934445028651,0.06296516258163037,0.06644721674696202,0.02860419892649575,0.027777853638622757,0.029481216445837437,0.03631407560519693,0.03572877851917577,0.03691886835100674,0.974748337947551,0.9580766421142001,0.9914200337809019,0.8600981081855321,0.8443937927577299,0.8758024236133344,0.8638586505112994,0.843451108405486,0.8842661926171128,0.7423817669766174,0.7206792478713164,0.7640842860819184,8.114784955978394
10,15,0.01,0.01,0.06666666666666667,0.06666666666666667,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,386.8183299890362,380.4370718690942,393.1995881089782,373.33321836537993,363.60495828348894,383.06147844727093,391.36874160437475,384.98088065719736,397.75660255155213,0.06462197625377,0.06356578790821009,0.06571385619963135,0.026513885397213843,0.026087330060055255,0.02695462186940232,0.03831739039344376,0.0377029407270737,0.038952199388635506,0.9746546411750604,0.9621434522339949,0.9871658301161259,0.8808952862140916,0.8610910512535686,0.9006995211746147,0.8628439716926182,0.845049109350251,0.8806388340349853,0.7311918864664313,0.7123506259239543,0.7500331470089083,9.033911228179932
4,21,0.01,0.01,0.06666666666666667,0.06666666666666667,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,407.3402628403543,401.643259038451,413.0372666422576,327.25054524049733,319.0349466623369,335.46614381865777,427.3310212880855,415.60786720356737,439.0541753726036,0.061395945442868624,0.05963915125934268,0.06325938095750788,0.012207779714545168,0.012014078614647034,0.012407829193089404,0.04926713220847458,0.048391496672289216,0.05017504065622665,0.9266678227242829,0.9018838257297298,0.9514518197188361,0.9772028237622208,0.9595512622749944,0.9948543852494471,0.7716636712521708,0.7541596012630158,0.7891677412413258,0.4930736511395568,0.47859670215415556,0.507550600124958,20.62213683128357
