N_A,N_B,r_Z_A,r_Z_B,r_A_gw,r_B_gw,r_A_s1,r_B_s1,r_A_s2,r_B_s2,r_A_s3,r_B_s3,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Ugw,Ugw_low,Ugw_up,Us1,Us1_low,Us1_up,Us2,Us2_low,Us2_up,Us3,Us3_low,Us3_up,sim_time_sec
0,25,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,506.78344152356027,497.39754271588276,516.1693403312378,0.0,0.0,0.0,506.78344152356027,497.39754271588276,516.1693403312378,0.049365151613508275,0.04859625956080672,0.05015876570380086,0.0,0.0,0.0,0.049365151613508275,0.04859625956080672,0.05015876570380086,0.9828084879108727,0.9659835496337177,0.9996334261880278,0.8906893121855117,0.8721816507000197,0.9091969736710037,0.5957866559898796,0.5817542262431065,0.6098190857366527,0.2463860602065929,0.24079170827085267,0.25198041214233313,10.535090923309326
8,17,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,508.24455686982327,494.7083439538063,521.7807697858402,492.0336848672604,483.8916229456147,500.17574678890605,501.0747839356759,492.44055751646954,509.70901035488225,0.050021323877538576,0.049277248621077664,0.05078821437351073,0.01625975996820605,0.016002160295316974,0.016525788913027684,0.03391580166932765,0.03349156447244646,0.03435092436643193,0.9999448269453185,0.9874298210445343,1.0124598328461027,0.7126458694090815,0.6969615646664014,0.7283301741517616,0.626291576170037,0.6096609747861435,0.6429221775539304,0.48527356090135604,0.47376947910415257,0.4967776426985595,11.705618858337402
7,18,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,497.1418333186235,486.80789316501586,507.4757734722312,487.3574297995093,479.1860087660704,495.5288508329482,503.71940656170864,495.0815597580604,512.3572533653569,0.05031519655461102,0.04909772978856058,0.05159457715458258,0.01435368644944446,0.014101346587119014,0.014615221975745493,0.03570353052741502,0.03473855104084601,0.03672365285891546,0.9986005478792266,0.9861384598978672,1.011062635860586,0.7555326008138469,0.7338732006399631,0.7771920009877307,0.648230046316211,0.6334173581837256,0.6630427344486963,0.46991600365326897,0.4566443514768357,0.48318765582970225,12.892169952392578
9,16,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,496.9900584705252,487.2435319774383,506.7365849636121,495.4092224819401,487.29028684005164,503.5281581238286,499.7558418717756,486.45244023435566,513.0592435091955,0.0504952538560488,0.04952658921290848,0.05150256558714371,0.018174564730115902,0.017813094251561704,0.01855100927739467,0.03201017875439624,0.03113519678142798,0.032935761389512166,0.9995346744466622,0.9709814228143039,1.0280879260790206,0.7093469148624479,0.6931941366193902,0.7254996931055057,0.6595364618982947,0.6481930907205884,0.6708798330760011,0.5234859070247949,0.5140438026604633,0.5329280113891265,14.624061107635498
6,19,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,504.29289672951256,496.73906229823666,511.84673116078847,485.2397840013125,475.4605121204568,495.0190558821682,509.43751384177955,495.2858762079441,523.589151475615,0.049790780204402536,0.049048780800703434,0.05055557405224252,0.012393360120490797,0.012191976866711262,0.012601507879216791,0.037490648875384294,0.03687234228606386,0.038130045698167,0.9988414638010606,0.9863951994350673,1.011287728167054,0.7603675999524836,0.7435423595030488,0.7771928404019184,0.6356265346314056,0.6197158806914443,0.6515371885713669,0.4353685894571942,0.4271792707116472,0.4435579082027412,15.025378942489624
2,23,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,502.5528632608718,491.0833335840814,514.0223929376622,452.91119319471966,439.5278227724963,466.29456361694304,506.1114889782484,498.0683162020995,514.1546617543974,0.04982612916734893,0.048801418615924665,0.05089479551885815,0.004416012291353131,0.004289476443764084,0.0045502404517942,0.04548065270339402,0.04457335279693306,0.04642565664151219,0.9945630522164727,0.9820670380339176,1.0070590663990278,0.8424568384750718,0.8225166824108839,0.8623969945392597,0.6032079488585901,0.5880452256322626,0.6183706720849176,0.3137686501000609,0.3054396943939108,0.322097605806211,16.482837915420532
4,21,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,497.5145442297795,485.44934694110435,509.5797415184547,473.48841387948573,464.7588718627541,482.21795589621735,506.9462183630939,498.80636235278786,515.0860743734,0.050492403284109554,0.049134820048284754,0.05192713758036202,0.008439181705412312,0.008206143470007778,0.008685842442354832,0.041779958908036006,0.04076044712731985,0.04285177968761964,0.9967386683251281,0.9840859667523855,1.0093913698978707,0.8118603667795089,0.7928607425213222,0.8308599910376956,0.619947611837537,0.6044795748095827,0.6354156488654913,0.37627686898936324,0.3667016811545748,0.3858520568241517,17.078479766845703
5,20,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,501.9048371595884,493.4087536041482,510.4009207150286,476.1617383676588,468.07751854675786,484.24595818855977,508.0247724614007,499.0520558387508,516.9974890840506,0.049673184196453064,0.048554607957593046,0.05084451412303979,0.010502690320112975,0.010327983388932298,0.010683409598525517,0.03948033048228454,0.038864861346787447,0.040115606586460094,0.9996845221901532,0.9871894028813673,1.0121796414989392,0.780272430959033,0.7568737747918851,0.8036710871261808,0.6314026913733789,0.616472743585118,0.6463326391616397,0.4042039041458595,0.3927746927878533,0.41563311550386567,20.071862936019897
11,14,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,499.06532098199165,490.0756216027618,508.05502036122147,501.35638978206975,492.4295057830363,510.2832737811032,497.7080884861761,485.64585714186796,509.77031983048425,0.050045958832363506,0.0488732367442504,0.05127634390821846,0.021993119182402807,0.021594316517234792,0.02240692913324978,0.02810963358169821,0.02730894859986036,0.02895868811722533,0.9992262288962055,0.9866830578230259,1.011769399969385,0.6579173715843578,0.6398162679500701,0.6760184752186456,0.6705878707318099,0.6514803542351209,0.689695387228499,0.5816006012007136,0.5670911860346766,0.5961100163667505,9.500116109848022
10,15,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,501.0219933863875,491.19864487721486,510.8453418955602,499.4162702961575,488.91791839979163,509.9146221925234,500.6663864300686,493.21245695742914,508.12031590270806,0.04984086642672688,0.04902724848039484,0.05068194441517817,0.01990656136288293,0.019574656475133158,0.020249915845459293,0.03009809620445642,0.029616016734788052,0.030596129619035208,0.9990958486336655,0.9865270332247889,1.0116646640425422,0.6717108566758251,0.6538367821639096,0.6895849311877406,0.6583620580887115,0.6421181419582386,0.6746059742191844,0.5516318438214275,0.5378189573121378,0.5654447303307172,11.300227880477905
12,13,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,499.0398322564997,491.8511880939844,506.22847641901507,507.3858502859163,499.302216898081,515.4694836737517,490.94320505818365,481.62535054634054,500.26105957002676,0.04982661697290184,0.048851703089406104,0.05084123515135958,0.023684407018321973,0.023271255429907736,0.024112493724381387,0.026354972074417494,0.025935501098373035,0.026788234843221254,0.999924847597774,0.9874198126208639,1.012429882574684,0.6320777664181378,0.6176779124099543,0.6464776204263214,0.666188771496623,0.6511451046018021,0.681232438391444,0.5998662907993193,0.5823692726556094,0.6173633089430292,9.123489141464233
14,11,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,501.4179145584709,489.4130592539644,513.4227698629775,511.6171303009915,496.6030318707438,526.6312287312392,495.01849676773134,484.9531308525288,505.0838626829339,0.04969196270835584,0.048757177163720355,0.05066329280816203,0.027531559497050995,0.026763350818393056,0.028345172395527633,0.02224181720936877,0.021608406722806707,0.022913483611685756,0.999593617191938,0.9871274233112172,1.0120598110726586,0.5947348188259172,0.5853847559758588,0.6040848816759755,0.6806935152303051,0.6638439823200465,0.6975430481405637,0.668059513706133,0.649323060380869,0.6867959670313971,10.31861686706543
13,12,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,496.3171306960256,486.23569780068044,506.3985635913707,502.71304957865107,494.29690019025,511.1291989670521,499.25758569745693,486.1834870762825,512.3316843186313,0.04959446816517691,0.04815620030024586,0.051121293649996534,0.025835855197203432,0.02545359333584894,0.02622977372950856,0.024369268181319664,0.02369077787385677,0.025087767470592204,0.9997879448167779,0.9872902316510608,1.012285657982495,0.6193029060174985,0.6030377168363669,0.6355680951986301,0.6714742314968715,0.6530775665332786,0.6898708964604643,0.6346906785172243,0.6185015046880447,0.6508798523464039,12.446002960205078
16,9,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,498.4809546409414,490.3114207828839,506.65048849899887,510.1414518712333,502.6182130366841,517.6646907057825,482.5134515163904,469.12592929941127,495.9009737333695,0.050151072375314354,0.04936171535909314,0.05096608532097014,0.03138211853574298,0.03085960417380417,0.03192263207032,0.018757806521866354,0.01821281524138282,0.01933641999560474,0.9987410718195809,0.9861578690656762,1.0113242745734858,0.555891252149988,0.5439333508597012,0.5678491534402749,0.6952968679874286,0.6774528877060965,0.7131408482687608,0.7251718325328731,0.7100970629060369,0.7402466021597093,10.344857931137085
15,10,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,502.5084677141853,493.4276381474007,511.5892972809699,508.9644442364219,498.85642581260373,519.07246266024,485.3181241862546,477.9131475564159,492.7231008160933,0.04985136707321843,0.048982461212586835,0.05075165691240314,0.0292724692865989,0.028855374702299465,0.029701798639775363,0.020653786218575224,0.020306755142755116,0.021012884652358902,0.9994288170866847,0.986886187548494,1.0119714466248755,0.5801513929892815,0.5673708788204261,0.5929319071581369,0.6811060439204587,0.6653743532337129,0.6968377346072046,0.6826335580846216,0.6674868597057713,0.6977802564634719,13.552717924118042
3,22,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,500.245417298963,489.9544319917196,510.53640260620637,464.8817094373641,451.5115913587096,478.25182751601864,505.7865878909641,496.94249871744603,514.6306770644821,0.04995263647565644,0.04902209437116981,0.05091918942060922,0.006435822977148757,0.006326483086060416,0.006549008754171616,0.0434930526612739,0.0427956538383255,0.04421355767321147,0.9952946038398036,0.98231598523939,1.008273222440217,0.8290835050024531,0.8053540716262413,0.8528129383786649,0.6168136053391207,0.6018037787689924,0.631823431909249,0.3448938056446104,0.33550188068100867,0.35428573060821217,31.259830236434937
17,8,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,503.4586003558414,495.11111446939304,511.8060862422897,512.8364071689002,504.44191991873356,521.2308944190669,477.66595078677835,469.1844092310894,486.14749234246733,0.049795834948944726,0.048443083644517715,0.051226306498725414,0.033073823804457336,0.032634259838501926,0.03352539077121333,0.01666644993342338,0.016187700891785974,0.017174379871030824,0.9992158019510842,0.9867361023853527,1.0116955015168156,0.5316375146357938,0.517505785449237,0.5457692438223506,0.6881913112171534,0.6728000712965246,0.7035825511377821,0.7521658810379609,0.731634377021752,0.7726973850541697,12.369359016418457
19,6,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,498.47491514583106,490.1610189493226,506.7888113423395,512.4617110886443,504.3194428714618,520.6039793058268,463.12246032626416,454.731616303091,471.5133043494373,0.05014447304927543,0.04868820141108995,0.05169054525645651,0.036859005559184935,0.03586320450849482,0.03791168608091197,0.012940432799527418,0.012575927357970806,0.013326698887441812,0.998373727224608,0.9857699486044849,1.0109775058447312,0.4948222635065717,0.48125385803340587,0.5083906689797376,0.7114546753882289,0.6920173651471647,0.7308919856292931,0.8090775139368125,0.7921270192488442,0.8260280086247808,13.605515003204346
18,7,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,496.5990360292382,481.98209433485323,511.2159777236232,514.0909016314077,505.7924813856328,522.3893218771827,469.75048543848766,461.8002705940249,477.70070028295044,0.04966732655088862,0.04891406673803726,0.05044414910622219,0.03495860777718556,0.03402009276753531,0.035950373597893576,0.014915698590419833,0.01463818402587036,0.015203938885234808,0.9990413656630533,0.9864587845071285,1.011623946818978,0.5129137166642088,0.5040176985492207,0.5218097347791969,0.7025971569950673,0.6867647883779635,0.7184295256121711,0.7742833740568492,0.7527451290329723,0.7958216190807261,15.140038251876831
20,5,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,502.7761573173252,492.41397551315066,513.1383391214998,518.2996088579445,505.42255370165185,531.1766640142371,452.456193328797,444.02168606475163,460.89070059284234,0.04961242436116467,0.04874228687421036,0.05051419356952252,0.03857180548008151,0.03775801713383326,0.03942144524313953,0.011091513327912222,0.01091131939875159,0.011277758784882934,0.9970646176786044,0.9843392926237294,1.0097899427334793,0.46897781362639335,0.45955357798543967,0.47840204926734703,0.7173562586625107,0.6986771516474847,0.7360353656775368,0.8330810067321086,0.8124836787275944,0.8536783347366228,15.278374910354614
25,0,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,529.2225728556281,520.6663733736245,537.7787723376316,529.2225728556281,520.6663733736245,537.7787723376316,0.0,0.0,0.0,0.047229732152799464,0.046424246945826836,0.0480636620783011,0.047229732152799464,0.046424246945826836,0.0480636620783011,0.0,0.0,0.0,0.9463493040748513,0.9211953838956837,0.9715032242540189,0.33434965360357366,0.32712537732055524,0.3415739298865921,0.708280372027923,0.692203247813081,0.7243574962427651,0.9662390049058194,0.9485794129753761,0.9838985968362627,6.206963062286377
21,4,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,504.1061841871038,494.35445188482163,513.857916489386,517.7942060606732,509.2616474039078,526.3267647174387,438.37968642606654,430.80837070227125,445.95100214986184,0.04980941772216461,0.048415184855299616,0.05128633225347249,0.04055432940965815,0.039950865704463774,0.04117630353358328,0.009125790681163202,0.00890280426193731,0.009360234240172493,0.9903153613435685,0.9780162646964978,1.002614457990639,0.4443535030166849,0.4326384042611037,0.4560686017722661,0.7183891961750989,0.7035237344295272,0.7332546579206706,0.8624292358958212,0.8389235370522684,0.885934934739374,13.324660062789917
1,24,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,506.8922299161636,499.1484724835821,514.6359873487451,444.8826847425368,437.7469368493645,452.01843263570913,508.39134644775527,499.6403294729089,517.1423634226016,0.04932160638664535,0.04854767169621163,0.050120616565939594,0.002247783593957408,0.0022122991626005667,0.0022844248944319068,0.047312415049653216,0.04596498309892318,0.04874123079734771,0.9898858249690097,0.977280435333449,1.0024912146045704,0.8623162362439383,0.8446406121717754,0.8799918603161011,0.602465639539222,0.5888303446777962,0.616100934400648,0.2823218113082464,0.2765033078586263,0.2881403147578665,41.10617399215698
22,3,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,506.0414531156995,494.89603257827713,517.1868736531218,519.8489382439735,512.5053726442715,527.1925038436756,424.6167019687392,416.7080264280115,432.5253775094669,0.049764895404205665,0.04851232698306899,0.051083859748528145,0.04235961753623117,0.04169365626232546,0.04304719856813046,0.007069871284863753,0.006933231355586704,0.00721200528288843,0.9848521402303055,0.9677102162030549,1.0019940642575562,0.42093412341135705,0.41373436394781493,0.4281338828748992,0.7231192330192927,0.7039454091131779,0.7422930569254075,0.8832192985145435,0.8600045299667802,0.9064340670623068,14.414169788360596
23,2,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,511.3391972963604,504.3849940366922,518.2934005560286,523.5796384114343,514.765792889055,532.3934839338136,408.83140481050316,403.63231132685644,414.0304982941499,0.04897825921429459,0.048163520831408804,0.04982103627518731,0.043937998431209296,0.04320830189127131,0.044692764393083034,0.004892004984232064,0.004830663415513542,0.004954924466194323,0.98133759698306,0.9659027331529196,0.9967724608132004,0.3950454932540771,0.3856476374130303,0.4044433490951239,0.7190058079927529,0.7034326280381648,0.7345789879473411,0.9092774167024618,0.8875756850287229,0.9309791483762007,15.538651943206787
24,1,0.01,0.01,0.05,0.05,0.14285714285714285,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.05,0.2,516.1191044717937,507.95319465741505,524.2850142861723,519.7734068141907,505.36632086820657,534.1804927601748,381.6123631793052,370.34636917363514,392.87835718497524,0.04856913774004045,0.04784480622196081,0.049315737970452925,0.04618751866608492,0.04497907824492545,0.04746268547388612,0.0026204601750026055,0.0025453170980583675,0.002700174980063473,0.9661933738307315,0.9513079335190432,0.9810788141424197,0.36720538182399604,0.35784075647479013,0.37657000717320194,0.7239536829413331,0.7037156188883406,0.7441917469943257,0.9358503511713279,0.9107269160830523,0.9609737862596034,13.863894939422607
